"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","trial_number","jar","bead","previous_bead","choice","correct","lowH_score","highH_score","state","rewarded"
"image-keyboard-response","80","51393","0.0-4.0-8.0-1.0-0.3","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","188","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","highH","3","2","2","1","2","true","","","",""
"image-keyboard-response","81","51702","0.0-4.0-8.0-1.0-1.3","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","",""
"image-keyboard-response","82","52208","0.0-4.0-8.0-1.0-2.3","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","",""
"image-keyboard-response","83","52240","0.0-4.0-8.0-1.0-0.4","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","27","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","highH","4","1","1","2","2","false","","","",""
"image-keyboard-response","84","52551","0.0-4.0-8.0-1.0-1.4","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","",""
"image-keyboard-response","85","53064","0.0-4.0-8.0-1.0-2.4","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceWrong.png","","","","","","","","","","",""
"image-keyboard-response","86","53239","0.0-4.0-8.0-1.0-0.5","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","174","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","highH","5","2","2","1","2","true","","","",""
"image-keyboard-response","87","53546","0.0-4.0-8.0-1.0-1.5","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","",""
"image-keyboard-response","88","54058","0.0-4.0-8.0-1.0-2.5","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","",""
"image-keyboard-response","89","54068","0.0-4.0-8.0-1.0-0.6","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","9","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","highH","6","1","1","2","2","false","","","",""
